sample_name	type
SRR3502718	primary
SRR3477448	recurrent
SRR3477452	primary
SRR3477453	recurrent
SRR3477458	primary
SRR3477459	recurrent
SRR3477463	primary
SRR3477464	recurrent
SRR3477465	primary
SRR3477469	primary
SRR3477470	recurrent
SRR3477474	primary
SRR3477475	recurrent
SRR3477476	recurrent
SRR3477480	primary
SRR3477481	recurrent
SRR3477485	primary
SRR3477486	recurrent
SRR3477494	primary
SRR3477495	recurrent
SRR3477513	recurrent
SRR3477517	recurrent
SRR3477520	primary
SRR3477522	primary
SRR3477523	recurrent
SRR3477524	recurrent
